image_path,image_filename,pill_name,shape,color,imprint
/content/drive/MyDrive/Feng497/Models/data/120/63459-0502-30_RXNAVIMAGE10_8641C37E.jpg,63459-0502-30_RXNAVIMAGE10_8641C37E.JPG,FENTANYL 0.2 MG ORAL LOZENGE [ACTIQ],BULLET,WHITE,ACTIQ;200
/content/drive/MyDrive/Feng497/Models/data/120/63459-0504-30_RXNAVIMAGE10_8841C43E.jpg,63459-0504-30_RXNAVIMAGE10_8841C43E.JPG,FENTANYL 0.4 MG ORAL LOZENGE [ACTIQ],BULLET,WHITE,ACTIQ;400
/content/drive/MyDrive/Feng497/Models/data/120/63459-0506-30_RXNAVIMAGE10_8941C4CE.jpg,63459-0506-30_RXNAVIMAGE10_8941C4CE.JPG,FENTANYL 0.6 MG ORAL LOZENGE [ACTIQ],BULLET,WHITE,ACTIQ;600
/content/drive/MyDrive/Feng497/Models/data/120/63459-0508-30_RXNAVIMAGE10_8941C4FE.jpg,63459-0508-30_RXNAVIMAGE10_8941C4FE.JPG,FENTANYL 0.8 MG ORAL LOZENGE [ACTIQ],BULLET,WHITE,ACTIQ;800
/content/drive/MyDrive/Feng497/Models/data/120/63459-0512-30_RXNAVIMAGE10_8A41C55E.jpg,63459-0512-30_RXNAVIMAGE10_8A41C55E.JPG,FENTANYL 1.2 MG ORAL LOZENGE [ACTIQ],BULLET,WHITE,ACTIQ;1200
/content/drive/MyDrive/Feng497/Models/data/120/63459-0516-30_RXNAVIMAGE10_8B41C5BE.jpg,63459-0516-30_RXNAVIMAGE10_8B41C5BE.JPG,FENTANYL 1.6 MG ORAL LOZENGE [ACTIQ],BULLET,WHITE,ACTIQ;1600
/content/drive/MyDrive/Feng497/Models/data/120/00093-0311-01_RXNAVIMAGE10_26211358.jpg,00093-0311-01_RXNAVIMAGE10_26211358.JPG,LOPERAMIDE HYDROCHLORIDE 2 MG ORAL CAPSULE,CAPSULE,"BROWN, ORANGE",93;311;93;311
/content/drive/MyDrive/Feng497/Models/data/120/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,00093-3165-01_RXNAVIMAGE10_36231B28.JPG,MINOCYCLINE 50 MG ORAL CAPSULE,CAPSULE,PINK,93;3165;93;3165
/content/drive/MyDrive/Feng497/Models/data/120/00093-0810-01_RXNAVIMAGE10_24231228.jpg,00093-0810-01_RXNAVIMAGE10_24231228.JPG,NORTRIPTYLINE 10 MG ORAL CAPSULE,CAPSULE,"WHITE, ORANGE",10;MG;93;810
/content/drive/MyDrive/Feng497/Models/data/120/00093-0811-01_RXNAVIMAGE10_20231018.jpg,00093-0811-01_RXNAVIMAGE10_20231018.JPG,NORTRIPTYLINE 25 MG ORAL CAPSULE,CAPSULE,"WHITE, ORANGE",25;MG;93;811
/content/drive/MyDrive/Feng497/Models/data/120/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,00093-0812-01_RXNAVIMAGE10_2D2316D8.JPG,NORTRIPTYLINE 50 MG ORAL CAPSULE,CAPSULE,WHITE,50;MG;93;812
/content/drive/MyDrive/Feng497/Models/data/120/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,00093-0813-01_RXNAVIMAGE10_2D2316A8.JPG,NORTRIPTYLINE 75 MG ORAL CAPSULE,CAPSULE,ORANGE,75;MG;93;813
/content/drive/MyDrive/Feng497/Models/data/120/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,00185-0615-01_RXNAVIMAGE10_4F34A795.JPG,HYDROXYZINE PAMOATE 50 MG ORAL CAPSULE,CAPSULE,"GREEN, WHITE",E615
/content/drive/MyDrive/Feng497/Models/data/120/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,00185-0613-01_RXNAVIMAGE10_F634FB07.JPG,HYDROXYZINE PAMOATE 25 MG ORAL CAPSULE,CAPSULE,"GREEN, GREEN",E613
/content/drive/MyDrive/Feng497/Models/data/120/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,00603-3855-21_RXNAVIMAGE10_8B34C5C6.JPG,HYDROCHLOROTHIAZIDE 12.5 MG ORAL CAPSULE,CAPSULE,BLUE,V;3566
/content/drive/MyDrive/Feng497/Models/data/120/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,53489-0118-02_RXNAVIMAGE10_FA34FD77.JPG,DOXYCYCLINE HYCLATE 50 MG ORAL CAPSULE,CAPSULE,"BLUE, WHITE",MUTUAL;100;MUTUAL;100
